wl	n
2.4797e-01	1.4979e+00
2.5289e-01	1.4800e+00
2.5791e-01	1.4657e+00
2.6303e-01	1.4552e+00
2.6825e-01	1.4484e+00
2.7358e-01	1.4451e+00
2.7901e-01	1.4452e+00
2.8455e-01	1.4483e+00
2.9020e-01	1.4543e+00
2.9596e-01	1.4628e+00
3.0184e-01	1.4734e+00
3.0783e-01	1.4860e+00
3.1394e-01	1.5003e+00
3.2017e-01	1.5158e+00
3.2653e-01	1.5325e+00
3.3301e-01	1.5501e+00
3.3962e-01	1.5683e+00
3.4637e-01	1.5870e+00
3.5324e-01	1.6061e+00
3.6025e-01	1.6254e+00
3.6741e-01	1.6448e+00
3.7470e-01	1.6643e+00
3.8214e-01	1.6838e+00
3.8973e-01	1.7032e+00
3.9746e-01	1.7225e+00
4.0535e-01	1.7418e+00
4.1340e-01	1.7611e+00
4.2161e-01	1.7804e+00
4.2998e-01	1.7998e+00
4.3852e-01	1.8193e+00
4.4722e-01	1.8390e+00
4.5610e-01	1.8591e+00
4.6515e-01	1.8796e+00
4.7439e-01	1.9006e+00
4.8381e-01	1.9222e+00
4.9341e-01	1.9445e+00
5.0321e-01	1.9676e+00
5.1320e-01	1.9916e+00
5.2339e-01	2.0166e+00
5.3378e-01	2.0427e+00
5.4437e-01	2.0699e+00
5.5518e-01	2.0984e+00
5.6620e-01	2.1281e+00
5.7744e-01	2.1592e+00
5.8891e-01	2.1917e+00
6.0060e-01	2.2255e+00
6.1252e-01	2.2607e+00
6.2468e-01	2.2974e+00
6.3709e-01	2.3354e+00
6.4973e-01	2.3748e+00
6.6263e-01	2.4155e+00
6.7579e-01	2.4574e+00
6.8920e-01	2.5006e+00
7.0289e-01	2.5449e+00
7.1684e-01	2.5903e+00
7.3107e-01	2.6366e+00
7.4559e-01	2.6837e+00
7.6039e-01	2.7317e+00
7.7549e-01	2.7802e+00
7.9088e-01	2.8294e+00
8.0658e-01	2.8789e+00
8.2260e-01	2.9288e+00
8.3893e-01	2.9790e+00
8.5558e-01	3.0294e+00
8.7257e-01	3.0800e+00
8.8989e-01	3.1306e+00
9.0756e-01	3.1814e+00
9.2557e-01	3.2324e+00
9.4395e-01	3.2835e+00
9.6269e-01	3.3350e+00
9.8180e-01	3.3871e+00
1.0013e+00	3.4398e+00
1.0212e+00	3.4934e+00
1.0414e+00	3.5483e+00
1.0621e+00	3.6049e+00
1.0832e+00	3.6634e+00
1.1047e+00	3.7245e+00
1.1266e+00	3.7885e+00
1.1490e+00	3.8560e+00
1.1718e+00	3.9275e+00
1.1951e+00	4.0035e+00
1.2188e+00	4.0844e+00
1.2430e+00	4.1706e+00
1.2677e+00	4.2623e+00
1.2929e+00	4.3595e+00
1.3185e+00	4.4621e+00
1.3447e+00	4.5695e+00
1.3714e+00	4.6810e+00
1.3986e+00	4.7954e+00
1.4264e+00	4.9111e+00
1.4547e+00	5.0264e+00
1.4836e+00	5.1391e+00
1.5130e+00	5.2469e+00
1.5431e+00	5.3473e+00
1.5737e+00	5.4381e+00
1.6050e+00	5.5170e+00
1.6368e+00	5.5820e+00
1.6693e+00	5.6314e+00
1.7025e+00	5.6640e+00
1.7363e+00	5.6790e+00
1.7707e+00	5.6762e+00
1.8059e+00	5.6555e+00
1.8417e+00	5.6176e+00
1.8783e+00	5.5630e+00
1.9156e+00	5.4931e+00
1.9536e+00	5.4090e+00
1.9924e+00	5.3124e+00
2.0319e+00	5.2048e+00
2.0723e+00	5.0880e+00
2.1134e+00	4.9639e+00
2.1554e+00	4.8343e+00
2.1982e+00	4.7012e+00
2.2418e+00	4.5664e+00
2.2863e+00	4.4316e+00
2.3317e+00	4.2987e+00
2.3780e+00	4.1689e+00
2.4252e+00	4.0438e+00
2.4734e+00	3.9244e+00
2.5225e+00	3.8115e+00
2.5725e+00	3.7059e+00
2.6236e+00	3.6080e+00
2.6757e+00	3.5181e+00
2.7288e+00	3.4365e+00
2.7830e+00	3.3629e+00
2.8383e+00	3.2975e+00
2.8946e+00	3.2401e+00
2.9521e+00	3.1904e+00
3.0107e+00	3.1483e+00
3.0704e+00	3.1134e+00
3.1314e+00	3.0856e+00
3.1936e+00	3.0646e+00
3.2570e+00	3.0502e+00
3.3216e+00	3.0421e+00
3.3876e+00	3.0402e+00
3.4548e+00	3.0442e+00
3.5234e+00	3.0540e+00
3.5934e+00	3.0694e+00
3.6647e+00	3.0904e+00
3.7375e+00	3.1168e+00
3.8117e+00	3.1484e+00
3.8873e+00	3.1853e+00
3.9645e+00	3.2273e+00
4.0432e+00	3.2744e+00
4.1235e+00	3.3265e+00
4.2053e+00	3.3837e+00
4.2888e+00	3.4460e+00
4.3740e+00	3.5132e+00
4.4608e+00	3.5855e+00
4.5494e+00	3.6628e+00
4.6397e+00	3.7453e+00
4.7318e+00	3.8328e+00
4.8257e+00	3.9255e+00
4.9216e+00	4.0235e+00
5.0193e+00	4.1267e+00
5.1189e+00	4.2353e+00
5.2205e+00	4.3494e+00
5.3242e+00	4.4690e+00
5.4299e+00	4.5941e+00
5.5377e+00	4.7250e+00
5.6476e+00	4.8617e+00
5.7597e+00	5.0042e+00
5.8741e+00	5.1528e+00
5.9907e+00	5.3076e+00
6.1096e+00	5.4685e+00
6.2309e+00	5.6358e+00
6.3546e+00	5.8096e+00
6.4808e+00	5.9901e+00
6.6094e+00	6.1772e+00
6.7407e+00	6.3713e+00
6.8745e+00	6.5723e+00
7.0110e+00	6.7805e+00
7.1502e+00	6.9959e+00
7.2921e+00	7.2188e+00
7.4369e+00	7.4492e+00
7.5845e+00	7.6874e+00
7.7351e+00	7.9333e+00
7.8887e+00	8.1872e+00
8.0453e+00	8.4493e+00
8.2050e+00	8.7195e+00
8.3679e+00	8.9982e+00
8.5340e+00	9.2853e+00
8.7034e+00	9.5811e+00
8.8762e+00	9.8857e+00
9.0524e+00	1.0199e+01
9.2322e+00	1.0522e+01
9.4154e+00	1.0853e+01
9.6024e+00	1.1194e+01
9.7930e+00	1.1544e+01
9.9874e+00	1.1904e+01
1.0186e+01	1.2273e+01
1.0388e+01	1.2652e+01
1.0594e+01	1.3041e+01
1.0804e+01	1.3439e+01
1.1019e+01	1.3848e+01
1.1238e+01	1.4266e+01
1.1461e+01	1.4694e+01
1.1688e+01	1.5133e+01
